id_user,id_region,total_spend
82357,5,240.0
82361,5,1129.0
82381,2,80.0
82389,2,92.5
82398,1,393.5
82413,3,187.5
82419,2,261.0
82481,5,400.0
82503,3,480.0
82516,2,367.0
82521,2,80.0
82549,5,920.0
82550,1,119.5
82589,2,162.0
82589,3,177.0
82599,3,1160.5
82600,5,144.0
82619,2,160.0
82622,5,191.5
82626,5,950.0
82628,2,173.5
82633,2,160.0
82635,2,80.0
82658,2,129.0
82660,3,1857.5
82666,1,294.0
82690,3,130.5
82693,2,80.0
82703,1,512.5
82704,5,454.0
82709,3,320.0
82738,1,160.0
82743,1,240.0
82752,5,439.0
82770,1,165.0
82773,3,324.5
82775,2,160.0
82784,5,200.0
82800,3,136.5
82804,2,400.0
82811,5,862.0
82818,2,80.0
82825,3,294.0
82826,3,132.0
82828,1,160.0
82853,1,143.0
82867,5,240.0
82869,2,80.0
82893,3,252.5
82894,2,80.0
82919,3,126.5
82923,3,280.0
82927,5,337.5
82944,2,80.0
82963,3,267.0
82965,1,198.5
82967,2,480.0
82996,1,480.0
83004,3,473.5
83024,1,160.0
83030,2,479.5
83062,5,400.0
